AGS;turnout;elec_cdu_csu;elec_spd;elec_greens;elec_fdp;elec_linke;elec_afd;elec_others
6636;55.600;25.341;26.299;17.559;5.123;4.178;10.643;10.855
7111;60.800;28.923;17.878;23.980;5.631;3.956;7.402;12.230
7131;65.900;37.144;16.359;18.119;6.847;2.596;7.934;11.001
7132;60.800;35.233;21.859;13.594;6.161;3.092;9.710;10.351
7133;63.800;29.899;23.723;15.773;6.413;3.104;10.237;10.851
7134;58.600;30.521;26.687;11.579;6.616;3.195;10.833;10.568
7135;68.800;42.557;18.804;12.625;6.442;2.191;7.653;9.728
7137;62.200;36.042;20.496;16.191;5.842;2.529;8.511;10.390
7138;61.900;32.978;21.194;16.676;6.061;3.087;9.131;10.873
7140;68.200;34.628;21.977;13.948;6.952;2.878;8.828;10.788
7141;65.800;28.556;25.294;15.509;5.882;2.921;9.420;12.418
7143;65.300;36.784;18.631;14.544;6.513;2.861;9.523;11.144
7211;60.300;23.745;22.550;25.672;5.031;5.065;6.712;11.225
7231;65.100;37.128;21.072;13.448;6.729;2.775;7.651;11.198
7232;69.300;38.453;21.370;13.976;5.883;2.564;6.872;10.883
7233;64.100;41.584;19.507;12.953;6.299;2.865;7.246;9.546
7235;70.200;34.065;26.600;14.810;4.501;2.781;6.912;10.330
7311;57.100;32.025;19.556;15.309;5.296;3.530;13.544;10.741
7312;54.600;22.414;21.483;19.690;5.589;4.348;12.027;14.449
7313;66.500;25.478;17.295;27.775;4.603;4.162;7.885;12.802
7314;54.100;23.816;23.412;16.568;5.032;3.965;14.163;13.044
7315;68.200;23.022;17.777;29.115;5.348;4.460;5.877;14.401
7316;65.300;29.833;16.908;20.405;5.931;2.536;9.958;14.428
7317;49.800;32.840;22.261;9.390;5.173;3.433;14.909;11.994
7318;60.600;26.954;20.910;22.073;4.794;3.700;10.510;11.059
7319;55.400;28.041;23.107;16.746;5.088;2.811;12.451;11.756
7320;52.700;26.707;26.217;13.832;4.653;4.015;11.747;12.830
7331;67.900;26.707;24.146;15.183;6.274;2.569;12.495;12.625
7332;69.900;29.782;20.409;16.496;6.369;2.431;11.390;13.124
7333;66.400;25.650;25.437;12.979;5.753;3.025;12.497;14.658
7334;65.700;31.842;19.126;13.993;5.955;2.512;14.242;12.330
7335;67.400;30.757;22.883;11.925;4.453;3.106;12.928;13.948
7336;66.600;25.559;27.880;11.108;4.370;3.502;13.577;14.004
7337;71.500;33.696;18.921;16.503;5.517;2.411;10.708;12.244
7338;68.900;31.260;20.175;16.531;6.097;2.385;11.989;11.565
7339;70.700;29.208;21.192;20.443;6.130;2.939;8.390;11.699
7340;71.100;35.192;20.586;9.885;5.877;2.495;12.454;13.512
8111;67.100;23.834;13.519;28.393;8.188;5.095;7.452;13.518
8115;66.200;31.315;12.950;21.771;7.892;2.632;10.252;13.189
8116;66.200;29.848;13.694;23.153;7.217;2.974;9.626;13.487
8117;62.700;30.468;13.918;20.410;6.941;2.440;12.513;13.312
8118;66.800;29.547;13.776;22.536;7.265;3.062;9.920;13.894
8119;64.900;30.391;13.531;19.675;8.372;2.841;11.510;13.679
8121;55.500;26.688;16.413;20.560;7.867;3.893;13.022;11.557
8125;64.000;30.529;14.360;18.552;7.664;2.545;12.888;13.460
8126;62.800;33.456;12.876;19.451;8.386;2.474;11.918;11.439
8127;60.600;30.711;14.035;21.403;7.513;2.899;11.439;12.000
8128;66.200;39.679;13.161;17.328;5.313;2.369;10.754;11.396
8135;58.300;34.759;15.572;20.065;4.628;2.933;10.221;11.822
8136;63.000;38.321;13.319;19.680;5.428;2.849;9.980;10.421
8211;61.700;31.996;12.323;25.753;7.584;2.611;9.550;10.182
8212;64.600;21.092;13.563;31.650;6.230;5.043;8.047;14.375
8215;64.900;32.697;13.889;20.574;6.308;2.550;11.261;12.721
8216;62.000;33.531;13.700;20.635;5.714;2.427;11.611;12.381
8221;70.100;18.617;14.854;36.244;6.152;5.423;6.159;12.550
8222;58.300;21.686;18.192;26.120;6.308;4.651;10.675;12.368
8225;63.700;38.132;14.710;15.632;5.535;2.380;11.795;11.816
8226;65.900;28.839;15.812;22.856;6.431;3.081;10.741;12.239
8231;53.200;26.907;13.923;17.625;7.604;3.616;17.653;12.673
8235;63.400;34.964;11.721;17.669;7.259;2.442;13.398;12.546
8236;65.600;29.839;13.835;19.854;7.854;2.201;12.965;13.451
8237;61.400;35.969;11.346;17.104;9.176;2.316;12.684;11.406
8311;67.400;16.242;13.881;38.543;4.336;6.634;5.300;15.065
8315;67.300;31.012;13.447;27.511;6.055;2.798;7.578;11.600
8316;65.500;29.614;15.068;25.438;5.897;2.790;8.168;13.025
8317;60.900;34.392;13.040;22.722;5.422;2.304;9.999;12.120
8325;61.700;37.288;11.122;17.201;7.623;2.027;11.587;13.151
8326;58.500;36.543;11.564;21.023;7.168;2.298;9.849;11.556
8327;60.600;37.967;10.353;18.294;8.052;2.216;10.880;12.238
8335;63.300;29.361;11.808;28.351;6.694;3.415;8.019;12.351
8336;60.400;27.738;15.605;25.493;6.324;3.182;9.022;12.636
8337;61.700;35.683;12.304;22.993;5.869;2.424;9.004;11.723
8415;62.000;30.447;12.705;22.451;9.834;3.019;10.731;10.813
8416;69.800;24.394;13.442;31.602;5.901;5.306;7.328;12.028
8417;59.400;35.559;11.504;17.858;7.959;2.505;12.611;12.004
8421;64.000;25.234;14.148;30.709;6.155;3.549;7.173;13.033
8425;67.000;39.172;10.906;20.395;5.887;1.923;9.922;11.795
8426;64.300;40.391;8.914;20.533;5.903;1.910;9.310;13.038
8435;66.700;32.902;11.157;25.752;6.835;2.628;8.614;12.113
8436;64.100;35.460;9.399;25.644;5.636;2.549;7.571;13.741
8437;63.200;40.920;8.830;20.515;6.103;1.988;10.222;11.423
9161;53.000;37.784;8.754;18.884;4.510;2.845;10.803;16.421
9162;65.400;26.943;11.447;31.202;5.298;3.168;5.984;15.957
9163;57.300;35.846;9.414;21.913;3.728;2.431;9.473;17.196
9171;55.800;49.581;7.771;13.963;2.492;1.860;8.771;15.563
9172;57.800;46.941;7.340;16.574;2.549;1.958;8.779;15.859
9173;63.400;42.691;7.092;19.671;3.571;2.053;7.729;17.191
9174;65.100;40.567;7.888;18.738;3.593;1.665;8.403;19.146
9175;68.700;39.002;8.580;22.798;4.124;1.872;6.969;16.654
9176;63.600;48.454;7.742;12.372;2.666;1.620;9.679;17.467
9177;63.300;41.486;6.524;17.689;3.197;1.913;9.188;20.003
9178;63.700;36.358;7.422;21.650;3.540;2.261;8.296;20.472
9179;67.400;37.526;9.395;22.635;3.960;2.016;7.378;17.091
9180;63.100;46.670;6.086;16.426;3.433;1.593;8.551;17.242
9181;66.500;38.515;7.244;23.937;3.517;2.107;7.274;17.406
9182;65.100;45.003;7.195;17.843;3.994;1.573;7.411;16.980
9183;57.000;48.395;5.838;13.072;2.663;1.735;10.273;18.024
9184;70.700;37.603;10.002;23.776;5.154;1.793;6.690;14.982
9185;55.500;49.389;6.087;12.474;2.413;1.603;9.201;18.834
9186;59.700;44.813;7.376;14.772;3.215;1.701;10.331;17.792
9187;63.100;43.631;7.116;18.465;3.309;1.639;8.339;17.502
9188;71.900;37.197;8.610;25.870;5.786;1.757;6.441;14.339
9189;59.400;45.260;7.651;18.587;2.560;1.960;7.552;16.430
9190;63.900;40.988;8.061;18.280;3.045;2.107;7.410;20.109
9261;58.500;41.140;7.512;19.729;3.965;2.551;8.883;16.221
9262;58.700;41.529;8.621;20.187;3.596;2.740;8.139;15.189
9263;50.100;50.895;6.646;11.630;2.395;2.407;11.701;14.325
9271;51.200;53.837;6.186;9.910;2.260;1.564;11.404;14.840
9272;49.700;57.249;5.822;7.731;1.805;1.416;11.464;14.514
9273;60.000;56.408;5.944;10.419;1.940;1.536;8.928;14.825
9274;61.600;50.695;5.426;11.830;2.576;1.486;9.771;18.217
9275;52.900;54.327;6.952;9.710;2.237;1.617;10.574;14.583
9276;47.600;54.738;6.628;7.808;1.953;1.559;13.344;13.971
9277;54.400;55.811;5.503;10.281;2.192;1.510;9.327;15.376
9278;58.800;58.715;4.440;7.883;1.773;1.224;10.570;15.395
9279;54.400;55.087;6.023;8.223;2.352;1.437;11.327;15.551
9361;52.200;39.670;12.455;15.970;2.867;2.885;10.936;15.216
9362;60.600;32.018;8.699;27.353;3.589;3.589;7.123;17.629
9363;52.300;40.676;13.053;14.846;3.414;2.977;10.719;14.315
9371;60.300;44.374;11.924;11.831;2.305;1.940;9.556;18.070
9372;53.200;53.032;5.175;8.295;1.646;1.417;12.091;18.345
9373;63.000;50.522;6.154;13.861;2.282;1.992;8.467;16.721
9374;58.700;48.317;11.714;9.894;2.224;1.746;9.851;16.255
9375;62.500;46.761;7.070;14.021;2.296;1.804;9.592;18.457
9376;55.600;47.657;9.919;9.590;2.048;1.945;11.681;17.160
9377;58.800;52.325;9.744;9.275;1.930;1.585;8.430;16.711
9461;60.400;30.313;9.647;28.448;3.553;4.090;7.818;16.132
9462;56.600;32.955;11.877;23.612;5.309;2.888;7.510;15.849
9463;56.500;33.354;14.103;22.849;3.833;3.271;7.599;14.991
9464;49.900;37.883;14.287;14.506;3.602;2.951;11.719;15.053
9471;60.500;45.265;8.029;13.531;3.266;1.838;11.303;16.769
